model,shrink,class,F1_0.5,pred_pos_0.5,target_pos_rate,pos_rate_gap,AUROC_dim,prob_mean,score
baseline,0.0,D,0.13836477987421383,0.05,0.21533333333333332,0.16533333333333333,0.7141081979624417,0.23752668557477344,0.006984004638922334
baseline,0.0,A,0.2297872340425532,0.10833333333333334,0.2826666666666666,0.17433333333333328,0.677530779753762,0.2981102097326008,0.0006840046389223753
baseline,0.0,S,0.0,0.0,0.12899999999999998,0.12899999999999998,0.7136260929364378,0.1713359037135809,0.03241733797225568
baseline,0.25,D,0.3157894736842105,0.13333333333333333,0.21533333333333332,0.08199999999999999,0.7141081979624417,0.27398481311521805,0.17810663830506934
baseline,0.25,A,0.36774193548387096,0.23333333333333334,0.2826666666666666,0.049333333333333285,0.677530779753762,0.3515735322827149,0.20097330497173602
baseline,0.25,S,0.022988505747126436,0.015,0.12899999999999998,0.11399999999999998,0.7136260929364378,0.22035865785483286,0.15570663830506934
baseline,0.4,D,0.3697478991596639,0.18166666666666667,0.21533333333333332,0.03366666666666665,0.7141081979624417,0.29712218972372634,0.2843172676878559
baseline,0.4,A,0.42777777777777776,0.31666666666666665,0.2826666666666666,0.03400000000000003,0.677530779753762,0.38536729780939394,0.28408393435452256
baseline,0.4,S,0.12612612612612611,0.055,0.12899999999999998,0.07399999999999998,0.7136260929364378,0.253540664064921,0.2560839343545226
baseline,0.6,D,0.4280701754385965,0.26,0.21533333333333332,0.04466666666666669,0.7141081979624417,0.3292511316789962,0.37795283968777976
baseline,0.6,A,0.49019607843137253,0.39666666666666667,0.2826666666666666,0.11400000000000005,0.677530779753762,0.43187141947312285,0.3294195063544464
baseline,0.6,S,0.30939226519337015,0.17166666666666666,0.12899999999999998,0.042666666666666686,0.7136260929364378,0.3016766913340324,0.3793528396877798
baseline,0.8,D,0.4382716049382716,0.325,0.21533333333333332,0.10966666666666669,0.7141081979624417,0.3626074591293884,0.35566848257767714
baseline,0.8,A,0.5152838427947598,0.48,0.2826666666666666,0.19733333333333336,0.677530779753762,0.4793752862438432,0.2943018159110105
baseline,0.8,S,0.34375,0.2966666666666667,0.12899999999999998,0.1676666666666667,0.7136260929364378,0.3534561642452558,0.31506848257767717
baseline,1.0,D,0.4722222222222222,0.385,0.21533333333333332,0.1696666666666667,0.7141081979624417,0.3969125441279553,0.3313818710887087
baseline,1.0,A,0.5325443786982249,0.5616666666666666,0.2826666666666666,0.279,0.677530779753762,0.5271298025491522,0.2548485377553754
baseline,1.0,S,0.345679012345679,0.41,0.12899999999999998,0.281,0.7136260929364378,0.4077884969562221,0.25344853775537535
dynamic,0.0,D,0.4624277456647399,0.3616666666666667,0.21533333333333332,0.14633333333333337,0.7046610378709327,0.3526746047541988,0.323367705040956
dynamic,0.0,A,0.48,0.425,0.2826666666666666,0.14233333333333337,0.6785430916552666,0.4071605900723906,0.326167705040956
dynamic,0.0,S,0.33497536945812806,0.20833333333333334,0.12899999999999998,0.07933333333333337,0.7189556930936242,0.28643561756746616,0.37026770504095596
dynamic,0.25,D,0.46706586826347307,0.3416666666666667,0.21533333333333332,0.12633333333333335,0.7046610378709327,0.3437683489269901,0.34293335322024787
dynamic,0.25,A,0.48758465011286684,0.455,0.2826666666666666,0.1723333333333334,0.6785430916552666,0.4360968955438156,0.3107333532202478
dynamic,0.25,S,0.3394495412844037,0.23333333333333334,0.12899999999999998,0.10433333333333336,0.7189556930936242,0.29493809463206766,0.35833335322024784
dynamic,0.4,D,0.46846846846846846,0.34,0.21533333333333332,0.1246666666666667,0.7046610378709327,0.3384541187182704,0.34735040233006187
dynamic,0.4,A,0.4814004376367615,0.47833333333333333,0.2826666666666666,0.1956666666666667,0.6785430916552666,0.4535473669036608,0.2976504023300619
dynamic,0.4,S,0.35398230088495575,0.24666666666666667,0.12899999999999998,0.1176666666666667,0.7189556930936242,0.3000885170678079,0.3522504023300619
dynamic,0.6,D,0.48598130841121495,0.32,0.21533333333333332,0.10466666666666669,0.7046610378709327,0.33140557159814915,0.3706659885162089
dynamic,0.6,A,0.48218029350104824,0.5116666666666667,0.2826666666666666,0.2290000000000001,0.6785430916552666,0.4768458628466032,0.2836326551828755
dynamic,0.6,S,0.36363636363636365,0.2733333333333333,0.12899999999999998,0.14433333333333334,0.7189556930936242,0.30701035452857167,0.3428993218495422
dynamic,0.8,D,0.49517684887459806,0.30333333333333334,0.21533333333333332,0.08800000000000002,0.7046610378709327,0.32440218004503085,0.39613703431569947
dynamic,0.8,A,0.499001996007984,0.5516666666666666,0.2826666666666666,0.269,0.6785430916552666,0.5001073454280258,0.26943703431569943
dynamic,0.8,S,0.3790322580645161,0.2833333333333333,0.12899999999999998,0.15433333333333335,0.7189556930936242,0.31399194393511837,0.34970370098236614
dynamic,1.0,D,0.49169435215946844,0.2866666666666667,0.21533333333333332,0.07133333333333336,0.7046610378709327,0.31744693994384365,0.4108711639063594
dynamic,1.0,A,0.5048923679060665,0.5683333333333334,0.2826666666666666,0.28566666666666674,0.6785430916552666,0.523256155093471,0.260837830573026
dynamic,1.0,S,0.3858267716535433,0.29333333333333333,0.12899999999999998,0.16433333333333336,0.7189556930936242,0.3210303388198198,0.3457711639063594
